妹	younger sister	234	RTK
朱	vermilion	235	RTK
株	stocks	236	RTK
若	young	237	RTK
草	grass	238	RTK
苦	suffering	239	RTK
苛	bullying	240	RTK
寛	tolerant	241	RTK
薄	dilute	242	RTK
葉	leaf	243	RTK
模	imitation	244	RTK
漠	vague	245	RTK
墓	grave	246	RTK
暮	livelihood	247	RTK
膜	membrane	248	RTK
苗	seedling	249	RTK
兆	portent	250	RTK
桃	peach tree	251	RTK
眺	stare	252	RTK
犬	dog	253	RTK
状	status quo	254	RTK
黙	silence	255	RTK
然	sort of thing	256	RTK
荻	reed	257	RTK
狩	hunt	258	RTK
猫	cat	259	RTK
牛	cow	260	RTK
特	special	261	RTK
告	revelation	262	RTK
先	before	263	RTK
洗	wash	264	RTK
介	jammed in	265	RTK
界	world	266	RTK
茶	tea	267	RTK
脊	spinal column	268	RTK
合	fit	269	RTK
塔	pagoda	270	RTK
王	king	271	RTK
玉	jewel	272	RTK
宝	treasure	273	RTK
珠	pearl	274	RTK
現	present	275	RTK
玩	toy	276	RTK
狂	lunatic	277	RTK
旺	effulgent	278	RTK
皇	emperor	279	RTK
呈	display	280	RTK
全	whole	281	RTK
栓	plug	282	RTK
理	logic	283	RTK
主	lord	284	RTK
注	pour	285	RTK
柱	pillar	286	RTK
金	gold	287	RTK
銑	pig iron	288	RTK
鉢	bowl	289	RTK
銅	copper	290	RTK
釣	angling	291	RTK
針	needle	292	RTK
銘	inscription	293	RTK
鎮	tranquillize	294	RTK
道	road-way	295	RTK
導	guidance	296	RTK
辻	crossing	297	RTK
迅	swift	298	RTK
造	create	299	RTK
迫	urge	300	RTK
逃	escape	301	RTK
辺	environs	302	RTK
巡	patrol	303	RTK
車	car	304	RTK
連	take along	305	RTK
軌	rut	306	RTK
輸	transport	307	RTK
喩・喻	metaphor	308	RTK
前	in front	309	RTK
煎	roast	310	RTK
各	each	311	RTK
格	status	312	RTK
賂	graft	313	RTK
略	abbreviation	314	RTK
客	guest	315	RTK
額	forehead	316	RTK
夏	summer	317	RTK
処	dispose	318	RTK
条	twig	319	RTK
落	fall	320	RTK
冗	superfluous	321	RTK
冥	Hades	322	RTK
軍	army	323	RTK
輝	radiance	324	RTK
運	carry	325	RTK
冠	crown	326	RTK
夢	dream	327	RTK
坑	pit	328	RTK
高	tall	329	RTK
享	receive	330	RTK
塾	cram school	331	RTK
熟	mellow	332	RTK
亭	pavilion	333	RTK
京	capital	334	RTK
涼	refreshing	335	RTK
景	scenery	336	RTK
鯨	whale	337	RTK
舎	cottage	338	RTK
周	circumference	339	RTK
週	week	340	RTK
士	gentleman	341	RTK
吉	good luck	342	RTK
壮	robust	343	RTK
荘	villa	344	RTK
売	sell	345	RTK
学	study	346	RTK
覚	memorize	347	RTK
栄	flourish	348	RTK
書	write	349	RTK
津	haven	350	RTK
牧	breed	351	RTK
攻	aggression	352	RTK
敗	failure	353	RTK
枚	a sheet of	354	RTK
故	happenstance	355	RTK
敬	awe	356	RTK
言	say	357	RTK
警	admonish	358	RTK
計	plot	359	RTK
