映る|うつる|to be reflected,to harmonize with,to come out (photo)|JLPT N2
うどん||noodles (Japanese)|JLPT N2
有無|うむ|yes or no,existence,flag indicator (comp),presence or absence marker|JLPT N2
埋める|うめる|to bury,to fill up,to fill (a seat, a vacant position)|JLPT N2
敬う|うやまう|to show respect,to honour|JLPT N2
裏返す|うらがえす|to turn inside out,to turn (something) over|JLPT N2
裏口|うらぐち|backdoor,rear entrance|JLPT N2
占う|うらなう|to forecast,to predict|JLPT N2
恨み|うらみ|resentment|JLPT N2
恨む|うらむ|to curse,to feel bitter|JLPT N2
羨ましい|うらやましい|envious,enviable|JLPT N2
羨む|うらやむ|to envy|JLPT N2
売上|うりあげ|amount sold,proceeds|JLPT N2
売り切れ|うりきれ|sold-out|JLPT N2
売り切れる|うりきれる|to be sold out|JLPT N2
売行き|うれゆき|sales|JLPT N2
うろうろ||loiteringly,aimless wandering|JLPT N2
運河|うんが|canal,waterway|JLPT N2
うんと||a great deal,very much|JLPT N2
英文|えいぶん|sentence in English|JLPT N2
英和|えいわ|English-Japanese (e.g. dictionary)|JLPT N2
ええと||let me see,well,er....|JLPT N2
液体|えきたい|liquid,fluid|JLPT N2
エチケット||etiquette|JLPT N2
絵の具|えのぐ|colors,paints|JLPT N2
エプロン||apron|JLPT N2
偉い|えらい|great,celebrated,eminent,terrible,awful,famous,remarkable,excellent|JLPT N2
宴会|えんかい|party,banquet|JLPT N2
園芸|えんげい|horticulture,gardening|JLPT N2
演劇|えんげき|play (theatrical)|JLPT N2
円周|えんしゅう|circumference|JLPT N2
遠足|えんそく|trip,hike,picnic|JLPT N2
延長|えんちょう|extension,elongation,prolongation,lengthening|JLPT N2
煙突|えんとつ|chimney|JLPT N2
追い掛ける|おいかける|to chase or run after someone,to run down,to pursue|JLPT N2
追い越す|おいこす|to pass (e.g. car),to outdistance,to outstrip|JLPT N2
オイル||oil,engine oil,kerosene|JLPT N2
応援|おうえん|aid,assistance,help,reinforcement|JLPT N2
王女|おうじょ|princess|JLPT N2
応ずる|おうずる|to answer,to respond,to meet,to satisfy,to accept|JLPT N2
応接|おうせつ|reception|JLPT N2
応対|おうたい|receiving,dealing with|JLPT N2
往復|おうふく|(col) round trip,coming and going,return ticket|JLPT N2
欧米|おうべい|Europe and America,the West|JLPT N2
応用|おうよう|application,put to practical use|JLPT N2
オーケストラ||orchestra|JLPT N2
おおざっぱ||rough (not precise),broad,sketchy|JLPT N2
大通り|おおどおり|main street|JLPT N2
オートメーション||automation|JLPT N2
大凡|おおよそ|about,roughly,as a rule,approximately|JLPT N2
お帰り|おかえり|return,welcome|JLPT N2
おかげさまで||Thanks to god,thanks to you|JLPT N2
おかず||side dish,accompaniment for rice dishes|JLPT N2
拝む|おがむ|to worship,to beg,to make a supplication|JLPT N2
お代わり|おかわり|second helping,another cup|JLPT N2
補う|おぎなう|to compensate for|JLPT N2
屋外|おくがい|outdoors|JLPT N2
おくさん||(hon) wife,your wife,madam|JLPT N2
送り仮名|おくりがな|part of word written in kana|JLPT N2
怠る|おこたる|to neglect,to be off guard,to be feeling better|JLPT N2
押える|おさえる|to stop,to restrain,to seize,to repress,to suppress,to press down|JLPT N2
おさきに||before,ahead,previously|JLPT N2
納める|おさめる|to obtain,to reap,to pay,to supply,to accept|JLPT N2
治める|おさめる|(1) to govern,to manage,(2) to subdue|JLPT N2
惜しい|おしい|regrettable,disappointing,precious|JLPT N2
御辞儀|おじぎ|bow|JLPT N2
伯父さん|おじさん|middle-aged gentleman,uncle|JLPT N2
小父さん|おじさん|middle-aged gentleman,uncle|JLPT N2
叔父さん|おじさん|middle-aged gentleman,uncle|JLPT N2
おしゃれ||smartly dressed,someone smartly dressed,fashion-conscious|JLPT N2
おじゃまします||Excuse me for disturbing you|JLPT N2
教わる|おそわる|to be taught|JLPT N2
おだいじに||Take care of yourself|JLPT N2
落着く|おちつく|to calm down,to settle down|JLPT N2
御手洗|おてあらい|font of purifying water placed at entrance of shrine|JLPT N2
お手伝いさん|おてつだいさん|maid|JLPT N2
おどかす||to threaten,to coerce|JLPT N2
落し物|おとしもの|lost property|JLPT N2
おととい||day before yesterday|JLPT N2
おととし||year before last|JLPT N2
おとなしい||obedient,docile,quiet|JLPT N2
驚かす|おどろかす|to surprise,to frighten,to create a stir|JLPT N2
おねがいします||please|JLPT N2
各々|おのおの|each,every,either,respectively,severally|JLPT N2
伯母さん|おばさん|(hon) aunt|JLPT N2
叔母さん|おばさん|(1) aunt,(2) middle-aged lady|JLPT N2
おはよう||(abbr) Good morning|JLPT N2
お参り|おまいり|worship,shrine visit|JLPT N2
おまたせしました||Sorry to have kept you waiting|JLPT N2
おまちください||Please wait a moment|JLPT N2
おまちどおさま||Sorry to have kept you waiting|JLPT N2
おめでたい||happy event,matter for congratulation,auspicious event,pregnancy|JLPT N2
思い掛けない|おもいがけない|unexpected,casual|JLPT N2
思い込む|おもいこむ|to be under impression that,to be convinced that|JLPT N2
思い付く|おもいつく|to think of,to hit upon|JLPT N2
重たい|おもたい|heavy,massive,serious|JLPT N2
おやすみ||(1) holiday,absence,rest,(2) (exp) Good night|JLPT N2
おやつ||(1) between meal snack,afternoon refreshment|JLPT N2
親指|おやゆび|thumb|JLPT N2
オルガン||organ|JLPT N2
卸す|おろす|to sell wholesale,grated (vegetables)|JLPT N2
恩恵|おんけい|grace,favor,blessing,benefit|JLPT N2
温室|おんしつ|greenhouse|JLPT N2
温泉|おんせん|spa,hot spring,onsen|JLPT N2
温帯|おんたい|temperate zone|JLPT N2
御中|おんちゅう|and Company,Messrs.|JLPT N2
女の人|おんなのひと|woman|JLPT N2
蚊|か|mosquito|JLPT N2
カーブ||(1) curve,(2) curve ball (baseball)|JLPT N2
貝|かい|shell,shellfish|JLPT N2
開会|かいかい|opening of a meeting|JLPT N2
会館|かいかん|meeting hall,assembly hall|JLPT N2
改札|かいさつ|examination of tickets|JLPT N2
解散|かいさん|breakup,dissolution|JLPT N2
海水浴|かいすいよく|sea bathing,seawater bath|JLPT N2
回数|かいすう|number of times,frequency|JLPT N2
回数券|かいすうけん|book of tickets|JLPT N2
改正|かいせい|revision,amendment,alteration|JLPT N2
快晴|かいせい|good weather|JLPT N2
解説|かいせつ|explanation,commentary|JLPT N2
改造|かいぞう|(1) remodeling,(2) modding (comp)|JLPT N2
開通|かいつう|opening,open|JLPT N2
回転|かいてん|rotation,revolution,turning|JLPT N2
解答|かいとう|answer,solution|JLPT N2
回答|かいとう|reply,answer|JLPT N2
外部|がいぶ|the outside,external|JLPT N2
解放|かいほう|release,liberation,emancipation|JLPT N2
開放|かいほう|open,throw open,liberalization|JLPT N2
海洋|かいよう|ocean|JLPT N2
概論|がいろん|intro,outline,general remarks|JLPT N2
帰す|かえす|to send back|JLPT N2
却って|かえって|on the contrary,rather,all the more,instead|JLPT N2
代える|かえる|to exchange,to interchange,to substitute,to replace|JLPT N2
反る|かえる|to warp,to be warped,to curve|JLPT N2
家屋|かおく|house,building|JLPT N2
係わる|かかわる|to concern oneself in,to have to do with,to affect,to influence,to stick to (opinions)|JLPT N2
書留|かきとめ|writing down,putting on record,recording,making a note of,registration (of mail)|JLPT N2
書取|かきとり|dictation|JLPT N2
垣根|かきね|hedge|JLPT N2
掻く|かく|to scratch,to perspire|JLPT N2
嗅ぐ|かぐ|to sniff,to smell|JLPT N2
架空|かくう|aerial,overhead,fiction,fanciful|JLPT N2
各自|かくじ|individual,each|JLPT N2
拡充|かくじゅう|expansion|JLPT N2
学術|がくじゅつ|science,learning,scholarship|JLPT N2
各地|かくち|every place,various places|JLPT N2
拡張|かくちょう|expansion,extension,enlargement,escape (ESC)|JLPT N2
角度|かくど|angle|JLPT N2
学年|がくねん|year in school,grade in school|JLPT N2
学部|がくぶ|department of a university,undergraduate|JLPT N2
格別|かくべつ|exceptional|JLPT N2
確率|かくりつ|probability|JLPT N2
学力|がくりょく|scholarship,knowledge,literary ability|JLPT N2
掛け算|かけざん|multiplication|JLPT N2
可決|かけつ|approval,adoption (e.g. motion, bill),passage|JLPT N2
火口|かこう|a burner,origin of a fire|JLPT N2
下降|かこう|downward,descent,fall,drop,subsidence|JLPT N2
重なる|かさなる|to be piled up,lie on top of one another,overlap each other|JLPT N2
重ねる|かさねる|to pile up,to put something on another,to heap up,to add,to repeat|JLPT N2
飾り|かざり|decoration|JLPT N2
火山|かざん|volcano|JLPT N2
かしこまりました||certainly!|JLPT N2
