そう||really|JLPT N4
日|ひ|day, sun|JLPT N4
気|き|spirit,mood|JLPT N4
思う|おもう|to think, to feel|JLPT N4
あ||Ah|JLPT N4
最近|さいきん|latest,nowadays|JLPT N4
ちゃん||suffix for familiar person|JLPT N4
楽しみ|たのしみ|joy|JLPT N4
これから||after this|JLPT N4
僕|ぼく|I (used by males)|JLPT N4
そんな||that sort of|JLPT N4
うち||within|JLPT N4
予定|よてい|arrangement|JLPT N4
ああ||like that|JLPT N4
久しぶり|ひさしぶり|after a long time|JLPT N4
必要|ひつよう|necessary|JLPT N4
市|し|city|JLPT N4
以上|いじょう|more than, this is all|JLPT N4
心|こころ|heart, mind, core|JLPT N4
予約|よやく|reservation|JLPT N4
気持ち|きもち|feeling,mood|JLPT N4
世界|せかい|the world|JLPT N4
力|ちから|strength,power|JLPT N4
確か|たしか|definite|JLPT N4
そろそろ||gradually,soon|JLPT N4
残念|ざんねん|disappointment|JLPT N4
今度|こんど|now,next time|JLPT N4
普通|ふつう|usually|JLPT N4
くれる||to give|JLPT N4
子|こ|child|JLPT N4
関係|かんけい|relationship|JLPT N4
はず||it should be so|JLPT N4
帰り|かえり|return|JLPT N4
大事|だいじ|important, valuable|JLPT N4
最後|さいご|last,end|JLPT N4
無理|むり|impossible|JLPT N4
時代|じだい|era|JLPT N4
用|よう|use|JLPT N4
音|おと|sound, note|JLPT N4
終わり|おわり|the end|JLPT N4
いっぱい||full|JLPT N4
夢|ゆめ|dream|JLPT N4
やっと||at last|JLPT N4
昔|むかし|old times, long ago|JLPT N4
場合|ばあい|situation|JLPT N4
連絡|れんらく|contact|JLPT N4
線|せん|line|JLPT N4
君|きみ|(informal) You|JLPT N4
うん||(informal) yes|JLPT N4
場所|ばしょ|location|JLPT N4
気分|きぶん|mood|JLPT N4
地震|じしん|earthquake|JLPT N4
なるほど||now I understand|JLPT N4
味|あじ|flavour|JLPT N4
以外|いがい|with the exception of|JLPT N4
間|あいだ|a space|JLPT N4
点|てん|point,dot|JLPT N4
女性|じょせい|woman|JLPT N4
台風|たいふう|typhoon|JLPT N4
娘|むすめ|(humble) daughter|JLPT N4
きっと||surely|JLPT N4
利用|りよう|utilization|JLPT N4
特に|とくに|particularly,especially|JLPT N4
考える|かんがえる|to consider|JLPT N4
さっき||some time ago|JLPT N4
紹介|しょうかい|introduction|JLPT N4
生活|せいかつ・する|to live|JLPT N4
今夜|こんや|tonight|JLPT N4
最初|さいしょ|beginning,first|JLPT N4
凄い|すごい|terrific|JLPT N4
遊び|あそび|play|JLPT N4
番組|ばんぐみ|television or radio program|JLPT N4
別|べつ|different|JLPT N4
怖い|こわい|frightening|JLPT N4
為|ため|in order to|JLPT N4
だから||so,therefore|JLPT N4
試合|しあい|match,game|JLPT N4
社会|しゃかい|society,public|JLPT N4
しっかり||firmly,steadily|JLPT N4
こう||this way|JLPT N4
変|へん|strange|JLPT N4
息子|むすこ|(humble) son|JLPT N4
しばらく||little while|JLPT N4
パソコン||personal computer|JLPT N4
興味|きょうみ|an interest|JLPT N4
ほとんど||mostly|JLPT N4
そんなに||so much,like that|JLPT N4
途中|とちゅう|on the way|JLPT N4
つもり||intention|JLPT N4
機会|きかい|opportunity|JLPT N4
季節|きせつ|season|JLPT N4
事故|じこ|accident|JLPT N4
事務所|じむしょ|office|JLPT N4
説明|せつめい|explanation|JLPT N4
眠い|ねむい|sleepy|JLPT N4
急|きゅう|urgent, steep|JLPT N4
仕方|しかた|method|JLPT N4
簡単|かんたん|simple|JLPT N4
見える|みえる|to be in sight|JLPT N4
おかげ||owing to, thanks to|JLPT N4
プレゼント||present|JLPT N4
周り|まわり|surroundings|JLPT N4
高校|こうこう|high school|JLPT N4
アメリカ||America|JLPT N4
理由|りゆう|reason|JLPT N4
注意|ちゅうい|caution|JLPT N4
席|せき|seat|JLPT N4
会場|かいじょう|assembly hall or meeting place|JLPT N4
会議|かいぎ|meeting|JLPT N4
意見|いけん|opinion|JLPT N4
もし||if|JLPT N4
安心|あんしん|relief|JLPT N4
近所|きんじょ|neighbourhood|JLPT N4
文化|ぶんか|culture|JLPT N4
ソフト||soft|JLPT N4
親|おや|parents|JLPT N4
皆|みな|everybody|JLPT N4
政治|せいじ|politics,government|JLPT N4
米|こめ|uncooked rice|JLPT N4
用意|ようい|preparation|JLPT N4
社長|しゃちょう|company president|JLPT N4
訳|わけ|meaning,reason|JLPT N4
技術|ぎじゅつ|art,technology,skill|JLPT N4
自由|じゆう|freedom|JLPT N4
研究|けんきゅう|research|JLPT N4
失敗|しっぱい|failure,mistake|JLPT N4
もうすぐ||soon|JLPT N4
原因|げんいん|cause,source|JLPT N4
漫画|まんが|comic|JLPT N4
彼|かれ|he,boyfriend|JLPT N4
熱|ねつ|fever|JLPT N4
先輩|せんぱい|senior|JLPT N4
試験|しけん|examination|JLPT N4
どんどん||more and more|JLPT N4
形|かたち|shape|JLPT N4
彼女|かのじょ|she,girlfriend|JLPT N4
必ず|かならず|certainly,necessarily|JLPT N4
倍|ばい|double|JLPT N4
返事|へんじ|reply|JLPT N4
おかしい||strange or funny|JLPT N4
安全|あんぜん|safety|JLPT N4
経済|けいざい|finance,economy|JLPT N4
空気|くうき|air,atmosphere|JLPT N4
ケーキ||cake|JLPT N4
続く|つづく|to be continued|JLPT N4
変わる|かわる|to change|JLPT N4
光|ひかり|light|JLPT N4
男性|だんせい|male|JLPT N4
ひどい||awful|JLPT N4
裏|うら|reverse side|JLPT N4
一度|いちど|once|JLPT N4
教育|きょういく|education|JLPT N4
星|ほし|star|JLPT N4
危険|きけん|danger|JLPT N4
タイプ||type,style|JLPT N4
厳しい|きびしい|strict|JLPT N4
会話|かいわ|conversation|JLPT N4
過ぎる|すぎる|to exceed|JLPT N4
十分|じゅうぶん|enough|JLPT N4
すっかり||completely|JLPT N4
たまに||occasionally|JLPT N4
受付|うけつけ|receipt|JLPT N4
髪|かみ|hair|JLPT N4
妻|つま|my wife|JLPT N4
億|おく|one hundred million|JLPT N4
特別|とくべつ|special|JLPT N4
悲しい|かなしい|sad|JLPT N4
国際|こくさい|international|JLPT N4
客|きゃく|guest,customer|JLPT N4
あんな||such|JLPT N4
店員|てんいん|shop assistant|JLPT N4
火|ひ|fire|JLPT N4
森|もり|forest|JLPT N4
布団|ふとん|Japanese bedding, futon|JLPT N4
歴史|れきし|history|JLPT N4
反対|はんたい|opposition|JLPT N4
首|くび|neck|JLPT N4
続ける|つづける|to continue|JLPT N4
それで||because of that|JLPT N4
雲|くも|cloud|JLPT N4
具合|ぐあい|condition,health|JLPT N4
小学校|しょうがっこう|elementary school|JLPT N4
ビル||building or bill|JLPT N4
恥ずかしい|はずかしい|embarrassed|JLPT N4
都合|つごう|circumstances,convenience|JLPT N4
市民|しみん|citizen|JLPT N4
変える|かえる|to change|JLPT N4
動く|うごく|to move|JLPT N4
正しい|ただしい|correct|JLPT N4
指|ゆび|finger|JLPT N4
趣味|しゅみ|hobby|JLPT N4
将来|しょうらい|future,prospects|JLPT N4
科学|かがく|science|JLPT N4
両方|りょうほう|both sides|JLPT N4
代わり|かわり|substitute,alternate|JLPT N4
小説|しょうせつ|novel|JLPT N4
生きる|いきる|to live|JLPT N4
あげる||to give|JLPT N4
寂しい|さびしい|lonely|JLPT N4
増える|ふえる|to increase|JLPT N4
昼間|ひるま|daytime,during the day|JLPT N4
壁|かべ|wall|JLPT N4
向かう|むかう|to face|JLPT N4
始める|はじめる|to begin|JLPT N4
コンサート||concert|JLPT N4
以下|いか|less than|JLPT N4
生産|せいさん・する|to produce|JLPT N4
優しい|やさしい|kind|JLPT N4
美術館|びじゅつかん|art gallery|JLPT N4
拝見|はいけん・する|(humble) to look at|JLPT N4
スーツ||suit|JLPT N4
適当|てきとう|suitability|JLPT N4
表|おもて|the front|JLPT N4
卒業|そつぎょう|graduation|JLPT N4
ピアノ||piano|JLPT N4
高校生|こうこうせい|high school student|JLPT N4
戻る|もどる|to turn back|JLPT N4
美しい|うつくしい|beautiful|JLPT N4
虫|むし|insect|JLPT N4
石|いし|stone|JLPT N4
思い出す|おもいだす|to remember|JLPT N4
湯|ゆ|hot water|JLPT N4
講義|こうぎ|lecture|JLPT N4
サラダ||salad|JLPT N4
遠く|とおく|distant|JLPT N4
田舎|いなか|countryside|JLPT N4
交通|こうつう|traffic,transportation|JLPT N4
合う|あう|to match|JLPT N4
戦争|せんそう|war|JLPT N4
字|じ|character|JLPT N4
深い|ふかい|deep|JLPT N4
夫|おっと|husband|JLPT N4
血|ち|blood|JLPT N4
日記|にっき|journal|JLPT N4
産業|さんぎょう|industry|JLPT N4
腕|うで|arm|JLPT N4
警察|けいさつ|police|JLPT N4
工場|こうじょう/こうば|factory,plant,mill,workshop|JLPT N4
例えば|たとえば|for example|JLPT N4
丁寧|ていねい|polite|JLPT N4
法律|ほうりつ|law|JLPT N4
約束|やくそく|promise|JLPT N4
空港|くうこう|airport|JLPT N4
受ける|うける|to take a lesson or test|JLPT N4
都|と|metropolitan|JLPT N4
背中|せなか|back of the body|JLPT N4
ガス||gas|JLPT N4
神社|じんじゃ|Shinto shrine|JLPT N4
島|しま|island|JLPT N4
毛|け|hair or fur|JLPT N4
味噌|みそ|miso, soybean paste|JLPT N4
行う|おこなう|to do|JLPT N4
間に合う|まにあう|to be in time for|JLPT N4
決して|けっして|never|JLPT N4
大分|だいぶ|greatly|JLPT N4
はっきり||clearly|JLPT N4
いらっしゃる||(respectful) to be, to come or to go|JLPT N4
習慣|しゅうかん|custom,manners|JLPT N4
坂|さか|slope,hill|JLPT N4
用事|ようじ|things to do|JLPT N4
大体|だいたい|generally|JLPT N4
歯医者|はいしゃ|dentist|JLPT N4
入院|にゅういん・する|to hospitalise, hospitalisation|JLPT N4
選ぶ|えらぶ|to choose|JLPT N4
アジア||Asia|JLPT N4
探す|さがす|to look for|JLPT N4
アルコール||alcohol|JLPT N4
複雑|ふくざつ|complexity|JLPT N4
お祝い|おいわい|congratulation|JLPT N4
不便|ふべん|inconvenience|JLPT N4
珍しい|めずらしい|rare|JLPT N4
残る|のこる|to remain|JLPT N4
送る|おくる|to send|JLPT N4
進む|すすむ|to make progress|JLPT N4
テニス||tennis|JLPT N4
それに||moreover|JLPT N4
とうとう||finally, after all|JLPT N4
葉|は|leaf|JLPT N4
または||or,otherwise|JLPT N4
レジ||register|JLPT N4
細かい|こまかい|small, fine|JLPT N4
聞こえる|きこえる|to be heard|JLPT N4
一生懸命|いっしょうけんめい|with utmost effort|JLPT N4
着物|きもの|kimono|JLPT N4
ガラス||a glass pane|JLPT N4
昼休み|ひるやすみ|noon break|JLPT N4
勝つ|かつ|to win|JLPT N4
人口|じんこう|population|JLPT N4
公務員|こうむいん|civil servant, government worker|JLPT N4
大学生|だいがくせい|university student|JLPT N4
伝える|つたえる|to report|JLPT N4
景色|けしき|scene,landscape|JLPT N4
決める|きめる|to decide|JLPT N4
特急|とっきゅう|limited express train|JLPT N4
なるべく||as much as possible|JLPT N4
寝坊|ねぼう|sleeping in late|JLPT N4
踊り|おどり|a dance|JLPT N4
ガソリン||petrol|JLPT N4
以内|いない|within|JLPT N4
負ける|まける|to lose|JLPT N4
競争|きょうそう|competition|JLPT N4
祈る|いのる|to pray|JLPT N4
故障|こしょう・する|to break-down|JLPT N4
それほど||to that extent|JLPT N4
道具|どうぐ|tool,means|JLPT N4
部長|ぶちょう|head of a section|JLPT N4
お礼|おれい|expression of gratitude|JLPT N4
笑う|わらう|to laugh,to smile|JLPT N4
通る|とおる|to go through|JLPT N4
数学|すうがく|mathematics|JLPT N4
人形|にんぎょう|doll, figure|JLPT N4
鏡|かがみ|mirror|JLPT N4
泣く|なく|to weep|JLPT N4
棚|たな|shelves|JLPT N4
打つ|うつ|to hit|JLPT N4
捨てる|すてる|to throw away|JLPT N4
草|くさ|grass|JLPT N4
テキスト||text,text book|JLPT N4
住所|じゅうしょ|an address,a residence|JLPT N4
比べる|くらべる|to compare|JLPT N4
中学校|ちゅうがっこう|junior high school,middle school|JLPT N4
翻訳|ほんやく|translation|JLPT N4
済む|すむ|to finish|JLPT N4
退院|たいいん・する|to leave hospital|JLPT N4
驚く|おどろく|to be surprised|JLPT N4
治る|なおる|to be cured,to heal|JLPT N4
冷房|れいぼう|air conditioning|JLPT N4
港|みなと|harbour|JLPT N4
慣れる|なれる|to grow accustomed to|JLPT N4
無くなる|なくなる|to disappear,to get lost|JLPT N4
水道|すいどう|water supply|JLPT N4
逃げる|にげる|to escape|JLPT N4
パート||part time|JLPT N4
おっしゃる||(respectful) to say|JLPT N4
林|はやし|woods,forester|JLPT N4
払う|はらう|to pay|JLPT N4
発音|はつおん|pronunciation|JLPT N4
親切|しんせつ|kindness|JLPT N4
暖房|だんぼう|heating|JLPT N4
入学|にゅうがく・する|to enter school or university|JLPT N4
寺|てら|temple|JLPT N4
注射|ちゅうしゃ|injection|JLPT N4
直す|なおす|to fix,to repair|JLPT N4
喜ぶ|よろこぶ|to be delighted|JLPT N4
ステーキ||steak|JLPT N4
付く|つく|to be attached|JLPT N4
回る|まわる|to go around|JLPT N4
立てる|たてる|to stand something up|JLPT N4
すり||pickpocket|JLPT N4
ベル||bell|JLPT N4
調べる|しらべる|to investigate|JLPT N4
文学|ぶんがく|literature|JLPT N4
見つける|みつける|to discover|JLPT N4
止める|とめる|to stop something|JLPT N4
糸|いと|thread|JLPT N4
スクリーン||screen|JLPT N4
おもちゃ||toy|JLPT N4
見つかる|みつかる|to be discovered|JLPT N4
花見|はなみ|cherry-blossom viewing|JLPT N4
すると||then|JLPT N4
迎える|むかえる|to go out to meet|JLPT N4
冷える|ひえる|to grow cold|JLPT N4
育てる|そだてる|to rear,to bring up|JLPT N4
割合|わりあい|rate,ratio,percentage|JLPT N4
売り場|うりば|place where things are sold|JLPT N4
遠慮|えんりょ・する|to be reserved, to be restrained|JLPT N4
ジャム||jam|JLPT N4
砂|すな|sand|JLPT N4
揺れる|ゆれる|to shake,to sway|JLPT N4
工業|こうぎょう|the manufacturing industry|JLPT N4
サンドイッチ||sandwich|JLPT N4
太る|ふとる|to become fat|JLPT N4
アナウンサー||announcer|JLPT N4
怒る|おこる|to get angry, to be angry|JLPT N4
間違える|まちがえる|to make a mistake|JLPT N4
踊る|おどる|to dance|JLPT N4
焼く|やく|to bake,to grill|JLPT N4
役に立つ|やくにたつ|to be helpful|JLPT N4
アルバイト||part-time job|JLPT N4
集める|あつめる|to collect something|JLPT N4
眠る|ねむる|to sleep|JLPT N4
湖|みずうみ|lake|JLPT N4
祖母|そぼ|grandmother|JLPT N4
海岸|かいがん|coast|JLPT N4
教会|きょうかい|church|JLPT N4
壊れる|こわれる|to be broken|JLPT N4
火事|かじ|fire|JLPT N4
エスカレーター||escalator|JLPT N4
西洋|せいよう|western countries|JLPT N4
鳴る|なる|to sound|JLPT N4
遅れる|おくれる|to be late|JLPT N4
枝|えだ|branch, twig|JLPT N4
引き出し|ひきだし|drawer,drawing out|JLPT N4
屋上|おくじょう|rooftop|JLPT N4
急行|きゅうこう|speedy, express|JLPT N4
貿易|ぼうえき|trade|JLPT N4
畳|たたみ|Japanese straw mat|JLPT N4
復習|ふくしゅう|revision|JLPT N4
たいてい||usually|JLPT N4
予習|よしゅう|preparation for a lesson|JLPT N4
忘れ物|わすれもの|lost article|JLPT N4
通う|かよう|to commute|JLPT N4
痩せる|やせる|to become thin|JLPT N4
手袋|てぶくろ|glove|JLPT N4
カーテン||curtain|JLPT N4
課長|かちょう|section manager|JLPT N4
触る|さわる|to touch|JLPT N4
指輪|ゆびわ|a ring|JLPT N4
サンダル||sandal|JLPT N4
旅館|りょかん|Japanese hotel|JLPT N4
下着|したぎ|underwear|JLPT N4
水泳|すいえい|swimming|JLPT N4
